id,employee_id,department,performance_score,years_with_company,salary
1,75,nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum,60.58974,21,964.33
2,89,id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed,42.08236,7,783.87
3,87,tempus semper est quam pharetra magna ac consequat metus sapien ut,62.88493,15,295.67
4,2,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum,96.06699,8,654.32
5,66,ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio,23.93824,13,360.57
6,92,ac diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus,47.24518,19,932.93
7,80,risus auctor sed tristique in tempus sit amet sem fusce consequat,61.6212,11,777.18
8,88,ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at,39.98279,7,338.65
9,83,penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue,10.17497,1,287.15
10,32,convallis nunc proin at turpis a pede posuere nonummy integer non velit,66.23994,21,105.7
11,47,vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit,75.64099,18,977.19
12,65,est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu,23.66927,10,101.87
13,65,rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia,32.80045,14,112.04
14,52,quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero,33.7294,1,274.22
15,27,ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit,11.40249,10,110.24
16,55,vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa,14.41231,20,912.29
17,97,neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus,90.28384,27,870.91
18,4,justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse,49.6962,16,385.48
19,74,proin at turpis a pede posuere nonummy integer non velit donec,31.53985,29,561.64
20,6,quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie sed justo pellentesque viverra,92.25334,13,573.48
21,13,justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit,44.40355,28,549.67
22,100,lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum,5.75084,25,839.02
23,80,purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut,40.0236,4,804.91
24,14,sed justo pellentesque viverra pede ac diam cras pellentesque volutpat dui maecenas tristique est,82.64076,19,470.4
25,76,rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui,71.7977,21,753.64
26,67,orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis,5.27348,15,578.57
27,42,vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris,52.71692,4,285.03
28,31,aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices,31.23833,4,636.97
29,9,justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et,61.55742,8,339.24
30,77,in eleifend quam a odio in hac habitasse platea dictumst,92.83722,25,602.4
31,51,nibh ligula nec sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer,10.6754,24,679.09
32,54,duis at velit eu est congue elementum in hac habitasse,16.25112,27,913.83
